Timestamp,Pressure (kPa),Voltage (V),Vehicle State,Fault Type
06:11.1,64.06542412,5,Acceleration,Power Supply Issue
33:23.7,119.0413132,3.940121128,Engine OFF,Sensor Fault
43:24.1,16.20044075,3.582632441,Throttle Release,Normal
43:06.2,19.68900812,1.547225964,Throttle Release,Power Supply Issue
59:17.5,21.73907609,5,Throttle Release,Power Supply Issue
44:32.2,109.1147966,4.577089414,Engine OFF,Power Supply Issue
58:08.0,74.50708181,0.269956477,Throttle Release,Wiring Issue
58:48.3,25.32769499,0.210239779,Throttle Release,Sensor Fault
03:00.6,22.23963439,5,Throttle Release,Sensor Fault
27:55.9,70.85690176,1.126058866,Idle,Normal
01:35.3,107.0580666,5,Engine OFF,Power Supply Issue
01:27.9,69.13115159,0,Wide Open Throttle,Wiring Issue
51:49.1,13.94658429,3.167696244,Throttle Release,Normal
57:13.0,45.09425781,4.913228384,Acceleration,Power Supply Issue
36:06.0,15.43459399,4.561909021,Throttle Release,Normal
48:56.8,56.98175758,4.087096334,Idle,Normal
13:47.7,79.50981734,3.816179714,Wide Open Throttle,Normal
41:29.2,116.7789096,3.639469854,Acceleration,Normal
43:59.2,66.36924788,4.425053611,Engine OFF,Normal
05:17.6,18.32231886,0,Throttle Release,Sensor Fault
52:50.2,111.1721632,4.466087307,Engine OFF,Wiring Issue
24:23.7,71.71637157,2.01063197,Acceleration,Normal
37:26.3,71.36615046,2.008492805,Acceleration,Power Supply Issue
45:31.0,115.438413,4.510451569,Engine OFF,Normal
15:28.3,98.91544678,3.542489026,Wide Open Throttle,Normal
03:20.8,20.48099134,0.142045334,Throttle Release,Sensor Fault
55:40.7,104.497611,1.484924954,Idle,Normal
03:26.2,105.6036129,4.963481095,Wide Open Throttle,Power Supply Issue
31:18.4,18.40167738,4.106868069,Throttle Release,Normal
54:06.8,95.82985214,2.906338333,Wide Open Throttle,Normal
06:11.1,104.9076227,5,Acceleration,Power Supply Issue
16:27.6,60.9839792,5,Acceleration,Power Supply Issue
23:40.3,47.85436496,3.134065932,Acceleration,Normal
31:56.4,30.72223834,0.613727445,Idle,Normal
14:31.9,63.92544632,1.985375436,Idle,Normal
01:25.9,58.65006631,0.042477907,Acceleration,Wiring Issue
25:53.5,114.1440106,4.288008442,Engine OFF,Normal
29:46.1,113.2920334,4.638001338,Engine OFF,Power Supply Issue
35:50.6,67.2497767,3.082743161,Acceleration,Normal
02:32.3,10.18981125,0.075558906,Throttle Release,Wiring Issue
23:09.1,26.66122198,3.319184765,Throttle Release,Normal
50:48.2,118.9493057,4.036261637,Engine OFF,Power Supply Issue
39:13.2,113.1209408,3.881883066,Engine OFF,Power Supply Issue
58:22.5,41.0670598,5,Acceleration,Power Supply Issue
18:23.8,37.90400331,3.942951178,Wide Open Throttle,Normal
29:43.6,46.40583776,1.481626797,Acceleration,Normal
19:50.3,118.5173198,3.89990028,Engine OFF,Normal
23:24.9,39.82422778,0.921047062,Idle,Normal
02:44.4,66.22698128,5,Acceleration,Power Supply Issue
30:12.6,67.72456298,1.618125948,Idle,Normal
15:22.2,89.6307842,2.156665511,Engine OFF,Normal
01:03.3,18.64868066,0,Throttle Release,Sensor Fault
18:24.3,30.06431725,2.091722881,Idle,Normal
24:32.8,78.17986987,2.368046909,Acceleration,Normal
20:59.6,23.48619936,1.056593479,Idle,Normal
05:38.9,112.4008156,5,Throttle Release,Sensor Fault
37:09.3,65.46777924,2.149489734,Acceleration,Normal
21:09.5,23.74015295,2.470148485,Acceleration,Normal
22:35.1,119.0413132,4.312272793,Engine OFF,Power Supply Issue
46:02.5,94.25650603,2.549582545,Acceleration,Normal
36:56.4,94.776511,1.500049486,Engine OFF,Normal
02:43.4,39.85667837,0.342740713,Acceleration,Wiring Issue
39:52.9,108.0354671,4.29822269,Engine OFF,Normal
06:11.1,86.19229738,0,Wide Open Throttle,Wiring Issue
27:21.1,50.80096499,2.353734655,Acceleration,Normal
20:02.5,74.60167018,4.217381736,Acceleration,Normal
40:32.5,52.21533231,1.55827285,Acceleration,Normal
22:57.2,18.72717284,1.081643925,Throttle Release,Wiring Issue
04:40.7,89.05336709,5,Acceleration,Power Supply Issue
43:52.6,53.96443688,3.148944224,Throttle Release,Normal
42:51.5,116.7300882,4.095423675,Engine OFF,Power Supply Issue
16:40.1,103.8919992,2.539661564,Engine OFF,Normal
04:26.2,59.02455706,0.031753302,Acceleration,Wiring Issue
06:11.1,97.72410828,0,Acceleration,Wiring Issue
05:40.0,20.96349598,1.626513197,Throttle Release,Sensor Fault
31:17.3,73.24489962,1.496826785,Acceleration,Normal
33:43.3,102.2016992,4.558108612,Wide Open Throttle,Normal
04:51.2,67.23612869,5,Acceleration,Power Supply Issue
29:27.7,44.95756041,2.25945528,Acceleration,Normal
02:24.3,66.11002454,0.350277206,Acceleration,Wiring Issue
52:34.4,106.7706575,3.442737951,Idle,Normal
02:26.0,28.63608393,4.55294892,Throttle Release,Sensor Fault
26:17.9,34.98204975,0.980157459,Idle,Normal
01:12.3,52.84780623,0.424893849,Acceleration,Wiring Issue
25:47.5,23.47959368,1.546784863,Wide Open Throttle,Normal
05:56.9,72.13688615,0.081393274,Throttle Release,Wiring Issue
04:05.7,31.23287608,4.973814245,Engine OFF,Sensor Fault
39:49.6,79.42610936,0.868043544,Acceleration,Normal
37:50.8,83.55330159,3.919262339,Wide Open Throttle,Normal
45:29.0,20.28811938,1.71906649,Idle,Normal
20:37.2,22.01268358,1.088584988,Idle,Normal
22:12.7,110.6073128,3.519747885,Engine OFF,Sensor Fault
06:11.1,106.7895773,0,Throttle Release,Wiring Issue
25:24.8,109.2664524,1.978333732,Engine OFF,Power Supply Issue
36:32.1,86.016967,1.863441527,Engine OFF,Normal
00:57.7,109.9158515,3.867744747,Engine OFF,Power Supply Issue
27:16.5,87.5035709,3.293681635,Wide Open Throttle,Normal
21:09.3,94.90564194,3.198602459,Wide Open Throttle,Normal
29:09.9,57.88827658,2.238167856,Wide Open Throttle,Normal
03:55.0,18.78798976,5,Acceleration,Power Supply Issue
51:13.0,35.31040618,3.088479472,Acceleration,Normal
19:55.2,107.7170977,3.459213304,Engine OFF,Normal
46:24.7,115.4246654,3.859672774,Engine OFF,Sensor Fault
33:05.8,113.5138863,3.949765317,Engine OFF,Normal
27:05.8,15.5060502,0.25114,Wide Open Throttle,Wiring Issue
26:47.5,97.93843018,3.35429656,Engine OFF,Normal
58:07.0,21.51531592,0.221341289,Throttle Release,Wiring Issue
16:06.3,25.1649758,2.390676892,Engine OFF,Normal
26:22.7,67.92373505,2.625778118,Idle,Normal
12:23.1,22.57302097,0.663653389,Idle,Normal
33:31.4,14.6613644,0.910686177,Throttle Release,Normal
32:59.6,110.3994519,3.662161671,Engine OFF,Normal
32:33.6,106.8813583,1.781658707,Engine OFF,Normal
04:42.5,64.37508062,0.402848519,Wide Open Throttle,Wiring Issue
46:28.9,47.31534379,3.198989125,Engine OFF,Normal
58:32.0,50.12305269,5,Wide Open Throttle,Power Supply Issue
58:45.3,92.8013133,4.844166232,Acceleration,Normal
56:16.6,16.1591184,0.645450795,Throttle Release,Sensor Fault
39:38.3,33.58529191,1.207462078,Idle,Normal
01:33.1,82.2831715,5,Acceleration,Power Supply Issue
06:11.1,80.10715066,0,Wide Open Throttle,Wiring Issue
42:48.5,101.3735113,0.044517566,Throttle Release,Normal
33:41.0,89.37664484,3.968516427,Wide Open Throttle,Normal
21:17.8,11.79577843,0,Throttle Release,Wiring Issue
00:10.5,89.67385751,5,Acceleration,Power Supply Issue
